instance,instance_id,n_jobs,machines,budget,scheme,ceiling_makespan,ceiling_nodes,ceiling_runtime,maxlpt_makespan,maxlpt_nodes,maxlpt_runtime,enum_makespan,enum_nodes,enum_runtime,enum_timed_out,match_ceiling_maxlpt,match_enum_ceiling,match_enum_maxlpt,ratio_nodes_maxlpt_to_ceiling,ratio_runtime_maxlpt_to_ceiling,speedup_enum_over_ceiling,speedup_enum_over_maxlpt
Complex_046_J6_M3_B35,46,6,3,35,random_realistic,78.0,275,0.227783203125,78.0,3,0.005999088287353516,78.0,228,0.45094990730285645,False,True,True,True,0.01090909090909091,0.026336833467309754,1.9797329263799572,75.16974008425403
Complex_047_J12_M6_B36,47,12,6,36,extreme,20.0,15920,3.4186370372772217,20.0,14659,3.3429312705993652,20.0,5647,3364.836503505707,False,True,True,True,0.9207914572864322,0.977854985524245,984.2625779850662,1006.5527021446702
Complex_048_J8_M6_B40,48,8,6,40,strong_correlation,19.0,1448,0.5878002643585205,19.0,1427,0.5575406551361084,19.0,406,0.8802390098571777,False,True,True,True,0.9854972375690608,0.9485205926958282,1.4975138039752367,1.578788921934834
Complex_049_J10_M6_B40,49,10,6,40,subset_sum,12.0,3703,1.4771473407745361,12.0,3703,1.4686567783355713,12.0,1136,16.963955879211426,False,True,True,True,1.0,0.9942520544805552,11.484267960917457,11.550660528348002
Complex_050_J12_M5_B28,50,12,5,28,uniform_ratios,28.0,100001,54.769922494888306,28.0,47650,38.738773345947266,28.0,37147,3600.0,True,True,True,True,0.4764952350476495,0.7073001308256875,65.72950692665283,92.93014953909534
Complex_051_J10_M4_B35,51,10,4,35,high_variance,180.0,2058,0.08750557899475098,180.0,687,0.03402853012084961,180.0,19275,1147.607547044754,False,True,True,True,0.3338192419825073,0.3888726925958722,13114.67863224576,33724.863900060256
Complex_052_J8_M6_B28,52,8,6,28,increasing,17.0,3809,1.0674822330474854,17.0,3800,1.0530261993408203,17.0,645,2.2021727561950684,False,True,True,True,0.9976371751115778,0.9864578226605276,2.0629596334434805,2.091280119690847
Complex_053_J12_M3_B31,53,12,3,31,random_realistic,90.0,2882,0.1125187873840332,90.0,3,0.005298137664794922,90.0,49129,3600.0,True,True,True,True,0.001040943789035392,0.04708669359110731,31994.65692527408,679484.0428404284
Complex_054_J7_M4_B26,54,7,4,26,extreme,120.0,44,0.007000446319580078,120.0,6,0.005265951156616211,120.0,369,0.7437841892242432,False,True,True,True,0.13636363636363635,0.7522307744704039,106.24810980178462,141.2440349526871
Complex_055_J8_M8_B47,55,8,8,47,strong_correlation,19.0,699,0.32792043685913086,19.0,684,0.3218512535095215,19.0,220,0.39655542373657227,False,True,True,True,0.9785407725321889,0.9814919027074345,1.209303779705947,1.2321077498144364
Complex_056_J6_M8_B28,56,6,8,28,subset_sum,11.0,223,0.08102297782897949,11.0,141,0.05451512336730957,11.0,55,0.06300592422485352,False,True,True,True,0.6322869955156951,0.6728353465652449,0.7776303205967602,1.1557512912579324
Complex_057_J7_M3_B33,57,7,3,33,uniform_ratios,39.0,1274,0.1626284122467041,39.0,161,0.056516170501708984,39.0,2519,8.203329086303711,False,True,True,True,0.12637362637362637,0.3475172002292875,50.44216427483423,145.1501227609831
Complex_058_J12_M8_B34,58,12,8,34,high_variance,90.0,34861,1.838212490081787,90.0,920,0.043504953384399414,90.0,174835,3600.0,True,True,True,True,0.02639052236023063,0.02366698823946287,1958.424295027952,82749.19796353433
Complex_059_J8_M3_B31,59,8,3,31,increasing,28.0,5392,1.463097095489502,28.0,1909,0.44707322120666504,28.0,997,3.744952917098999,False,True,True,True,0.35404302670623145,0.3055663377262667,2.559606555603247,8.376598596067218
Complex_060_J6_M8_B38,60,6,8,38,random_realistic,18.0,215,0.10678768157958984,18.0,93,0.04829978942871094,18.0,60,0.06250882148742676,False,True,True,True,0.4325581395348837,0.45229738780977896,0.5853561062737218,1.2941841408995776
Complex_061_J7_M3_B27,61,7,3,27,extreme,135.0,26,0.004995107650756836,135.0,3,0.003724336624145508,135.0,254,0.543555498123169,False,True,True,True,0.11538461538461539,0.7455968688845401,108.81757434012697,145.94693041418603
Complex_062_J10_M6_B28,62,10,6,28,strong_correlation,18.0,888,0.1985030174255371,18.0,888,0.20310235023498535,18.0,180,1.2035610675811768,False,True,True,True,1.0,1.0231700901532823,6.063187770093516,5.925884492171956
Complex_063_J6_M8_B25,63,6,8,25,subset_sum,9.0,233,0.12762928009033203,9.0,94,0.04993033409118652,9.0,59,0.08499789237976074,False,True,True,True,0.4034334763948498,0.39121378774406146,0.6659748634451427,1.7023297345563764
Complex_064_J7_M8_B17,64,7,8,17,uniform_ratios,9.0,18492,9.541852951049805,9.0,18273,9.600287437438965,9.0,3807,13.032428979873657,False,True,True,True,0.9881570408825439,1.0061240187507534,1.36581742002635,1.357504039832194
Complex_065_J6_M6_B37,65,6,6,37,high_variance,126.0,58,0.011612653732299805,126.0,19,0.007302761077880859,126.0,537,3.9989187717437744,False,True,True,True,0.3275862068965517,0.6288623811772435,344.3587369371959,547.5899771465884
Complex_066_J10_M3_B38,66,10,3,38,increasing,34.0,24071,5.531334400177002,34.0,10999,2.347419261932373,34.0,4017,186.60823369026184,False,True,True,True,0.4569398861700802,0.42438570733623626,33.73656701794967,79.49505941117981
Complex_067_J6_M3_B38,67,6,3,38,random_realistic,30.0,435,0.1948528289794922,30.0,170,0.0771017074584961,30.0,119,0.17502999305725098,False,True,True,True,0.39080459770114945,0.3956920095145802,0.8982676514061414,2.2701182480487834
Complex_068_J10_M8_B27,68,10,8,27,extreme,84.0,7,0.008924245834350586,84.0,7,0.007998228073120117,84.0,651,23.24593949317932,False,True,True,True,1.0,0.8962357404290562,2604.8071651839387,2906.3861746206812
Complex_069_J8_M6_B46,69,8,6,46,strong_correlation,20.0,1817,0.4905378818511963,20.0,1778,0.4735291004180908,20.0,356,0.9494361877441406,False,True,True,True,0.9785360484314805,0.965326263144209,1.9355002393722371,2.0050218390081187
Complex_070_J12_M5_B17,70,12,5,17,subset_sum,10.0,325,0.04200291633605957,10.0,111,0.017510652542114258,10.0,114,0.4195280075073242,False,True,True,True,0.3415384615384615,0.4168913511150971,9.988068546258507,23.958445094969026
Complex_071_J12_M4_B21,71,12,4,21,uniform_ratios,24.0,14248,4.927253723144531,24.0,10898,3.9410972595214844,24.0,2896,2003.5684621334076,False,True,True,True,0.7648792813026389,0.7998567723454496,406.6298540142453,508.37833481345615
Complex_072_J8_M8_B28,72,8,8,28,high_variance,34.0,6005,0.8471431732177734,34.0,4004,0.4950540065765381,34.0,1642,7.455429792404175,False,True,True,True,0.6667776852622814,0.584380565443423,8.800672693950427,15.05983123732486
Complex_073_J10_M4_B30,73,10,4,30,increasing,22.0,7282,1.2714133262634277,22.0,7282,1.2635383605957031,22.0,1223,31.269218683242798,False,True,True,True,1.0,0.9938061325101346,24.594062400730287,24.747344171253122
Complex_074_J12_M4_B27,74,12,4,27,random_realistic,68.0,121,0.010964632034301758,68.0,3,0.0050013065338134766,68.0,1464,161.18980383872986,False,True,True,True,0.024793388429752067,0.4561308138902781,14700.885842266629,32229.53897125423
Complex_075_J6_M5_B24,75,6,5,24,extreme,110.0,324,0.44206738471984863,110.0,316,0.4460716247558594,110.0,346,0.9116277694702148,False,True,True,True,0.9753086419753086,1.0090579856700994,2.062191876127529,2.043680249711378
Complex_076_J12_M8_B40,76,12,8,40,strong_correlation,19.0,11427,3.3611462116241455,19.0,8250,2.2993690967559814,19.0,3093,735.8544161319733,False,True,True,True,0.7219742714623261,0.6841026697392314,218.92960609303566,320.0244872257084
Complex_077_J8_M8_B18,77,8,8,18,subset_sum,11.0,133,0.02599930763244629,11.0,61,0.014501094818115234,11.0,42,0.03799939155578613,False,True,True,True,0.45864661654135336,0.5577492686773836,1.4615539803207733,2.6204498372299496
Complex_078_J12_M8_B30,78,12,8,30,uniform_ratios,16.0,100000,97.80722999572754,16.0,100000,98.45460295677185,16.0,377070,3600.0,True,True,True,True,1.0,1.0066188661213755,36.80709493722762,36.56507559713222
Complex_079_J12_M8_B36,79,12,8,36,high_variance,95.0,1823,0.10405755043029785,95.0,217,0.039534807205200195,95.0,148929,3600.0,True,True,True,True,0.11903455842018651,0.37993213410959814,34596.24011052838,91058.99976480663
Complex_080_J7_M8_B21,80,7,8,21,increasing,15.0,863,0.22140169143676758,15.0,863,0.22245192527770996,15.0,173,0.281527042388916,False,True,True,True,1.0,1.0047435673780403,1.2715668094582748,1.2655635236128275
Complex_081_J12_M6_B24,81,12,6,24,random_realistic,18.0,1103,0.26195597648620605,18.0,709,0.18081283569335938,18.0,333,12.304302453994751,False,True,True,True,0.642792384406165,0.6902413074086917,46.97087892034662,68.04993908099327
Complex_082_J6_M5_B36,82,6,5,36,extreme,232.0,13,0.007999420166015625,232.0,13,0.006999492645263672,232.0,458,1.3708055019378662,False,True,True,True,1.0,0.875,171.36310801144492,195.84355201307991
Complex_083_J10_M4_B23,83,10,4,23,strong_correlation,20.0,169,0.02029132843017578,20.0,107,0.012507200241088867,20.0,59,0.06799769401550293,False,True,True,True,0.6331360946745562,0.6163815387507637,3.351071579639987,5.436683886463714
Complex_084_J8_M3_B40,84,8,3,40,subset_sum,20.0,1450,0.5222225189208984,20.0,1246,0.454833984375,20.0,526,1.2719693183898926,False,True,True,True,0.8593103448275862,0.8709581986522763,2.4356845450063003,2.796557341988728
Complex_085_J6_M6_B17,85,6,6,17,uniform_ratios,16.0,290,0.08536696434020996,16.0,259,0.07251238822937012,16.0,67,0.08050751686096191,False,True,True,True,0.8931034482758621,0.8494197818770859,0.9430757844465236,1.1102587961425532
Complex_086_J6_M5_B46,86,6,5,46,high_variance,54.0,1388,0.06050848960876465,54.0,986,0.044112205505371094,54.0,831,3.2365763187408447,False,True,True,True,0.7103746397694525,0.729025063930557,53.48962335149788,73.37144633012647
Complex_087_J6_M5_B23,87,6,5,23,increasing,13.0,1081,0.3911619186401367,13.0,1072,0.38575315475463867,13.0,182,0.2225186824798584,False,True,True,True,0.9916743755781684,0.9861725704171268,0.5688659142828583,0.5768421586114912
Complex_088_J6_M3_B47,88,6,3,47,random_realistic,55.0,71,0.007685661315917969,55.0,71,0.008999824523925781,55.0,160,0.2675492763519287,False,True,True,True,1.0,1.1709889564462093,34.811484055093686,29.728276994807672
Complex_089_J7_M5_B23,89,7,5,23,extreme,130.0,47,0.010001182556152344,130.0,47,0.010999917984008789,130.0,364,1.015340805053711,False,True,True,True,1.0,1.0998617335749024,101.52207494993802,92.30439777185339
Complex_090_J6_M5_B39,90,6,5,39,strong_correlation,18.0,297,0.0595400333404541,18.0,128,0.02900838851928711,18.0,82,0.08150935173034668,False,True,True,True,0.43097643097643096,0.4872081336168407,1.368983978632838,2.8098545245335744
Complex_091_J7_M3_B30,91,7,3,30,subset_sum,14.0,760,0.3123440742492676,14.0,606,0.21951937675476074,14.0,303,0.423478364944458,False,True,True,True,0.7973684210526316,0.7028126827198019,1.3558072646721615,1.929116104486544
Complex_092_J12_M6_B28,92,12,6,28,uniform_ratios,25.0,100002,30.223880290985107,25.0,100000,30.563767194747925,25.0,91310,3600.0,True,True,True,True,0.999980000399992,1.0112456408803405,119.11111231716247,117.78652733026391
Complex_093_J6_M6_B48,93,6,6,48,high_variance,120.0,788,0.543550968170166,120.0,654,0.54608154296875,120.0,1418,25.228076219558716,False,True,True,True,0.8299492385786802,1.0046556347919,46.41345098599976,46.19836825542081
Complex_094_J7_M6_B31,94,7,6,31,increasing,15.0,5179,2.305616617202759,15.0,5043,2.226837158203125,15.0,753,1.6106760501861572,False,True,True,True,0.973740104267233,0.9658315010345426,0.698587977796706,0.723302125731475
Complex_095_J6_M5_B22,95,6,5,22,random_realistic,48.0,3,0.006410837173461914,48.0,3,0.004000663757324219,48.0,18,0.020003318786621094,False,True,True,True,1.0,0.6240470080702146,3.120235040351073,5.0
Complex_096_J7_M8_B17,96,7,8,17,extreme,23.0,267,0.07601666450500488,23.0,112,0.03708648681640625,23.0,124,0.16051077842712402,False,True,True,True,0.41947565543071164,0.48787311384814186,2.1115209338941217,4.328012497428513
Complex_097_J10_M8_B29,97,10,8,29,strong_correlation,19.0,321,0.062209367752075195,19.0,42,0.009525775909423828,19.0,89,0.17802786827087402,False,True,True,True,0.1308411214953271,0.15312446105202646,2.8617533774073007,18.689067427541673
Complex_098_J8_M4_B27,98,8,4,27,subset_sum,12.0,469,0.12687253952026367,12.0,269,0.0685262680053711,12.0,168,0.18952703475952148,False,True,True,True,0.5735607675906184,0.5401189907956899,1.4938381108801786,2.765757428153921
Complex_099_J8_M8_B24,99,8,8,24,uniform_ratios,14.0,5516,3.3080549240112305,14.0,5035,2.9855988025665283,14.0,1253,5.381467342376709,False,True,True,True,0.912799129804206,0.9025239517324267,1.6267769024376815,1.8024750471331263
Complex_100_J10_M8_B25,100,10,8,25,high_variance,72.0,2271,0.09583163261413574,72.0,26,0.008501768112182617,72.0,5007,125.96584558486938,False,True,True,True,0.011448701012769706,0.08871567644490443,1314.4495418550207,14816.429232451836
Complex_101_J7_M5_B27,101,7,5,27,increasing,15.0,2822,0.9920978546142578,15.0,2813,1.0882859230041504,15.0,437,0.7158372402191162,False,True,True,True,0.9968107725017717,1.0969542146901345,0.721538945870863,0.6577657811130083
Complex_102_J12_M4_B38,102,12,4,38,random_realistic,70.0,435,0.23575234413146973,70.0,4,0.005999326705932617,70.0,7317,3029.005557537079,False,True,True,True,0.009195402298850575,0.025447580290387403,12848.252129564924,504890.91626594606
Complex_103_J8_M6_B23,103,8,6,23,extreme,60.0,1776,0.21852779388427734,60.0,512,0.10951352119445801,60.0,661,1.6226415634155273,False,True,True,True,0.2882882882882883,0.5011422997865962,7.425332652535753,14.816814816266195
Complex_104_J8_M6_B43,104,8,6,43,strong_correlation,20.0,2022,0.4666140079498291,20.0,1736,0.3875892162322998,20.0,334,0.878880500793457,False,True,True,True,0.8585558852621167,0.8306420502360354,1.8835278963334408,2.267556639828452
Complex_105_J6_M3_B20,105,6,3,20,subset_sum,12.0,39,0.008998394012451172,12.0,27,0.004998683929443359,12.0,15,0.006000518798828125,False,True,True,True,0.6923076923076923,0.555508452122304,0.6668433045413598,1.2004197271773347
Complex_106_J8_M6_B26,106,8,6,26,uniform_ratios,21.0,63764,57.65116810798645,21.0,58835,53.921900510787964,21.0,9805,114.77365946769714,False,True,True,True,0.9226993287748573,0.9353132344133394,1.9908297305045841,2.12851658380874
Complex_107_J6_M6_B29,107,6,6,29,high_variance,60.0,506,0.058414459228515625,60.0,404,0.05385994911193848,60.0,263,0.879605770111084,False,True,True,True,0.7984189723320159,0.9220311173512702,15.058014432181807,16.331351674376396
Complex_108_J12_M3_B17,108,12,3,17,increasing,25.0,280,0.018453121185302734,25.0,280,0.0169980525970459,25.0,116,0.6240620613098145,False,True,True,True,1.0,0.9211478332773456,33.81878084705031,36.71373869135283
Complex_109_J7_M5_B40,109,7,5,40,random_realistic,18.0,784,0.3968324661254883,18.0,330,0.1671135425567627,18.0,193,0.23459601402282715,False,True,True,True,0.42091836734693877,0.42111862516792475,0.591171423833659,1.4038121054321075
Complex_110_J12_M5_B30,110,12,5,30,extreme,75.0,5495,4.400438547134399,75.0,4076,3.740880250930786,75.0,4089,2620.7072665691376,False,True,True,True,0.7417652411282984,0.8501153262024025,595.5559289143495,700.5589836555358
Complex_111_J7_M6_B53,111,7,6,53,strong_correlation,20.0,703,0.24152278900146484,20.0,636,0.21810197830200195,20.0,105,0.14201617240905762,False,True,True,True,0.9046941678520626,0.9030285680440663,0.5880031983573868,0.651145732444528
Complex_112_J12_M5_B41,112,12,5,41,subset_sum,12.0,6589,1.339808464050293,12.0,1995,0.33406949043273926,12.0,2478,378.7107262611389,False,True,True,True,0.30277735619972684,0.249341230031369,282.66034767110045,1133.6285925738782
