parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
machines,18,2,180002,8,18,2.0,0.013002872467041016,0,0,0.0,36.0,success,False,0,0.01800251007080078,0,0,0.0,36.0,success,False,0,True,,
machines,18,3,180003,8,18,2.0,0.012999296188354492,0,0,0.0,36.0,success,False,0,0.019001483917236328,0,0,0.0,36.0,success,False,0,True,,
machines,18,4,180004,8,18,2.0,88.27626442909241,360480,255752,0.7094762538837106,54.0,success,False,3122,66.77574276924133,112860,55320,0.49016480595427964,54.0,success,False,2710,True,68.69174434087884,1.321981018378949
machines,19,0,190000,8,19,2.0,0.019002676010131836,0,0,0.0,57.0,success,False,0,0.02100205421447754,0,0,0.0,57.0,success,False,0,True,,
machines,19,1,190001,8,19,2.0,0.02200460433959961,0,0,0.0,76.0,success,False,0,0.03400540351867676,0,0,0.0,76.0,success,False,0,True,,
machines,19,2,190002,8,19,2.0,0.02000117301940918,0,0,0.0,51.0,success,False,0,0.02100348472595215,0,0,0.0,51.0,success,False,0,True,,
machines,19,3,190003,8,19,2.0,0.010999917984008789,0,0,0.0,38.0,success,False,0,0.019002676010131836,0,0,0.0,38.0,success,False,0,True,,
machines,19,4,190004,8,19,2.0,0.012003183364868164,0,0,0.0,32.0,success,False,0,0.017002582550048828,0,0,0.0,32.0,success,False,0,True,,
machines,20,0,200000,8,20,2.0,0.01800251007080078,0,0,0.0,54.0,success,False,0,0.02700352668762207,0,0,0.0,54.0,success,False,0,True,,
machines,20,1,200001,8,20,2.0,0.011999845504760742,0,0,0.0,20.0,success,False,0,0.01600050926208496,0,0,0.0,20.0,success,False,0,True,,
machines,20,2,200002,8,20,2.0,0.012001752853393555,0,0,0.0,20.0,success,False,0,0.023003578186035156,0,0,0.0,20.0,success,False,0,True,,
machines,20,3,200003,8,20,2.0,0.018001079559326172,0,0,0.0,42.0,success,False,0,0.025003671646118164,0,0,0.0,42.0,success,False,0,True,,
machines,20,4,200004,8,20,2.0,0.02000260353088379,0,0,0.0,57.0,success,False,0,0.023005008697509766,0,0,0.0,57.0,success,False,0,True,,
machines,21,0,210000,8,21,2.0,0.021003007888793945,0,0,0.0,57.0,success,False,0,0.030005216598510742,0,0,0.0,57.0,success,False,0,True,,
machines,21,1,210001,8,21,2.0,0.02400350570678711,0,0,0.0,68.0,success,False,0,0.03100299835205078,0,0,0.0,68.0,success,False,0,True,,
machines,21,2,210002,8,21,2.0,0.01400136947631836,0,0,0.0,38.0,success,False,0,0.01700305938720703,0,0,0.0,38.0,success,False,0,True,,
machines,21,3,210003,8,21,2.0,0.017001628875732422,0,0,0.0,45.0,success,False,0,0.02500438690185547,0,0,0.0,45.0,success,False,0,True,,
