parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
budget,7.0,0,70000,8,4,7.0,0.6591358184814453,9343,9120,0.9761318634271647,688.0,success,False,14,0.38257694244384766,2827,2703,0.9561372479660417,688.0,success,False,11,True,69.74205287380927,1.7228843282372912
budget,7.0,1,70001,8,4,7.0,3.4466240406036377,9873,9698,0.9822748911171882,605.0,success,False,14,2.6454861164093018,4252,4138,0.9731890874882408,605.0,success,False,13,True,56.93304973159121,1.3028320274391438
budget,7.0,2,70002,8,4,7.0,0.044005393981933594,0,0,0.0,624.0,success,False,0,0.12702322006225586,0,0,0.0,624.0,success,False,0,True,,
budget,7.0,3,70003,8,4,7.0,0.055010318756103516,0,0,0.0,525.0,success,False,0,0.15702605247497559,0,0,0.0,525.0,success,False,0,True,,
budget,7.0,4,70004,8,4,7.0,24.274192571640015,369317,358401,0.9704427361859865,260.0,success,False,96,6.3010194301605225,49903,47671,0.9552732300663287,260.0,success,False,94,True,86.48775983775457,3.852423062758531
budget,7.5,0,75000,8,4,7.5,0.05200934410095215,0,0,0.0,560.0,success,False,0,0.16902709007263184,0,0,0.0,560.0,success,False,0,True,,
budget,7.5,1,75001,8,4,7.5,0.04903674125671387,0,0,0.0,1188.0,success,False,0,0.18902969360351562,0,0,0.0,1188.0,success,False,0,True,,
budget,7.5,2,75002,8,4,7.5,0.03900575637817383,0,0,0.0,286.0,success,False,0,0.10201811790466309,0,0,0.0,286.0,success,False,0,True,,
budget,7.5,3,75003,8,4,7.5,0.04000568389892578,0,0,0.0,459.0,success,False,0,0.12501907348632812,0,0,0.0,459.0,success,False,0,True,,
budget,7.5,4,75004,8,4,7.5,0.05100846290588379,0,0,0.0,390.0,success,False,0,0.16802549362182617,0,0,0.0,390.0,success,False,0,True,,
budget,8.0,0,80000,8,4,8.0,0.04600858688354492,0,0,0.0,594.0,success,False,0,0.14002752304077148,0,0,0.0,594.0,success,False,0,True,,
